Ticket ID,Timestamp,Category,Subcategory,Issue Description,Status,Escalated Time,Resolved Time,Assigned Group
TCKT-1001,2025-05-01T08:15:23,Hardware,Laptop,Laptop not powering on after overnight charging.,Resolved,2024-06-01T10:30:00,2025-06-05T12:45:00,IT Support
TCKT-1002,2025-05-01T09:05:11,Software,Email,"Unable to send emails via Outlook, error code 0x800CCC0E.",Resolved,,2025-06-05T09:45:00,Application Support
TCKT-1003,2025-05-01T09:22:45,Network,WiFi,Intermittent WiFi connectivity in conference room.,Open,,,Network Operations
TCKT-1004,2025-05-01T10:01:32,Hardware,Printer,Printer showing paper jam error despite no jam.,Resolved,,2025-06-05T11:10:00,IT Support
TCKT-1005,2025-05-01T10:15:09,Software,ERP,ERP system not loading dashboard for user.,Pending,2024-06-01T11:00:00,,Application Support
TCKT-1006,2025-05-01T10:45:27,Network,VPN,VPN connection drops after 5 minutes of use.,Open,,,Network Operations
TCKT-1007,2025-05-01T11:02:14,Hardware,Desktop,Desktop computer making loud fan noise.,Resolved,,2025-06-05T13:00:00,IT Support
TCKT-1008,2025-05-01T11:20:33,Software,Browser,Chrome browser crashing on startup.,Resolved,,2025-06-05T12:00:00,Application Support
TCKT-1009,2025-05-01T11:45:50,Network,LAN,"No network access on floor 3, all devices affected.",Escalated,2024-06-01T12:00:00,,Network Operations
TCKT-1010,2025-05-01T12:05:12,Hardware,Monitor,Monitor flickering intermittently.,Resolved,,2025-06-05T13:30:00,IT Support
TCKT-1011,2025-05-01T12:20:44,Software,Antivirus,Antivirus update failing with error code 104.,Open,,,Application Support
TCKT-1012,2025-05-01T12:45:19,Network,Firewall,Firewall blocking access to external website.,Resolved,,2025-06-05T14:00:00,Network Operations
TCKT-1013,2025-05-01T13:05:37,Hardware,Keyboard,Keyboard keys not responding.,Resolved,,2025-06-05T13:45:00,IT Support
TCKT-1014,2025-05-01T13:22:58,Software,Operating System,Windows update stuck at 45%.,Pending,,,Application Support
TCKT-1015,2025-05-01T13:40:16,Network,Switch,Network switch in server room not responding.,Escalated,2024-06-01T14:00:00,,Network Operations
TCKT-1016,2025-05-01T14:05:29,Hardware,Mouse,Mouse cursor not moving smoothly.,Resolved,,2025-06-05T14:30:00,IT Support
TCKT-1017,2025-05-01T14:22:41,Software,Database,Database query running slow for all users.,Escalated,2024-06-01T15:00:00,,Application Support
TCKT-1018,2025-05-01T14:45:53,Network,WAN,Slow internet speeds reported in branch office.,Open,,,Network Operations
TCKT-1019,2025-05-01T15:05:17,Hardware,Laptop,Laptop battery draining quickly.,Resolved,,2025-06-05T16:00:00,IT Support
TCKT-1020,2025-05-01T15:20:34,Software,Email,Spam emails not being filtered.,Open,,,Application Support
TCKT-1021,2025-05-01T15:45:02,Network,WiFi,WiFi password not accepted on mobile devices.,Resolved,,2025-06-05T16:10:00,Network Operations
TCKT-1022,2025-05-01T16:05:19,Hardware,Printer,Printer not connecting to network.,Pending,,,IT Support
TCKT-1023,2025-05-01T16:22:33,Software,ERP,ERP report generation failing for finance team.,Escalated,2024-06-01T17:00:00,,Application Support
TCKT-1024,2025-05-01T16:45:48,Network,VPN,Unable to connect to VPN from home.,Resolved,,2025-06-05T17:30:00,Network Operations
TCKT-1025,2025-05-01T17:05:15,Hardware,Desktop,Desktop not recognizing USB devices.,Resolved,,2025-06-05T18:00:00,IT Support
TCKT-1026,2025-05-01T17:20:27,Software,Browser,Edge browser not loading internal portal.,Open,,,Application Support
TCKT-1027,2025-05-01T17:45:39,Network,LAN,LAN port in meeting room not working.,Resolved,,2025-06-05T18:15:00,Network Operations
TCKT-1028,2025-05-01T18:05:51,Hardware,Monitor,Monitor not displaying after sleep mode.,Resolved,,2025-06-05T18:45:00,IT Support
TCKT-1029,2025-05-01T18:20:13,Software,Antivirus,Antivirus flagged legitimate application as malware.,Pending,,,Application Support
TCKT-1030,2025-05-01T18:45:25,Network,Firewall,Firewall rules need updating for new vendor.,Open,,,Network Operations
TCKT-1031,2025-05-01T19:05:37,Hardware,Keyboard,Wireless keyboard disconnects frequently.,Resolved,,2025-06-05T19:30:00,IT Support
TCKT-1032,2025-05-01T19:22:49,Software,Operating System,"MacOS update failed, system rollback initiated.",Escalated,2024-06-01T20:00:00,,Application Support
TCKT-1033,2025-05-01T19:45:01,Network,Switch,Switch port configuration needed for new device.,Resolved,,2025-06-05T20:15:00,Network Operations
TCKT-1034,2025-05-01T20:05:13,Hardware,Mouse,Mouse double-clicking unexpectedly.,Resolved,,2025-06-05T20:30:00,IT Support
TCKT-1035,2025-05-01T20:22:25,Software,Database,Database backup failed overnight.,Open,,,Application Support
TCKT-1036,2025-05-01T20:45:37,Network,WAN,WAN link down for remote office.,Escalated,2024-06-01T21:00:00,,Network Operations
TCKT-1037,2025-05-01T21:05:49,Hardware,Laptop,Laptop screen cracked after accidental drop.,Resolved,,2025-06-05T22:00:00,IT Support
TCKT-1038,2025-05-01T21:20:01,Software,Email,Email attachments not downloading.,Pending,,,Application Support
TCKT-1039,2025-05-01T21:45:13,Network,WiFi,WiFi signal weak in cafeteria.,Resolved,,2025-06-05T22:15:00,Network Operations
TCKT-1040,2025-05-01T22:05:25,Hardware,Printer,Printer toner low warning persists after replacement.,Resolved,,2025-06-05T22:45:00,IT Support
TCKT-1041,2025-05-01T22:20:37,Software,ERP,ERP login page not loading for HR users.,Escalated,2024-06-01T23:00:00,,Application Support
TCKT-1042,2025-05-01T22:45:49,Network,VPN,VPN authentication failing for new employee.,Resolved,,2025-06-05T23:30:00,Network Operations
TCKT-1043,2025-05-01T23:05:01,Hardware,Desktop,Desktop freezing during video calls.,Open,,,IT Support
TCKT-1044,2025-05-01T23:20:13,Software,Browser,Firefox not displaying images on intranet.,Resolved,,2025-06-05T23:45:00,Application Support
TCKT-1045,2025-05-01T23:45:25,Network,LAN,LAN cable damaged in server rack.,Resolved,,2025-06-02T00:15:00,Network Operations
TCKT-1046,2025-05-02T00:05:37,Hardware,Monitor,Monitor brightness adjustment not working.,Pending,,,IT Support
TCKT-1047,2025-05-02T00:22:49,Software,Antivirus,"Antivirus license expired, renewal needed.",Resolved,,2025-06-02T01:00:00,Application Support
TCKT-1048,2025-05-02T00:45:01,Network,Firewall,Firewall blocking internal file transfers.,Escalated,2024-06-02T01:00:00,,Network Operations
TCKT-1049,2025-05-02T01:05:13,Hardware,Keyboard,Keyboard backlight not functioning.,Resolved,,2025-06-02T01:30:00,IT Support
TCKT-1050,2025-05-02T01:22:25,Software,Operating System,Linux server not booting after patch update.,Open,,,Application Support
TCKT-1001,2025-05-01T08:15:23,Hardware,Laptop,Laptop not powering on after overnight charging.,Resolved,2024-06-01T09:00:00,2025-06-05T11:30:00,IT Support
TCKT-1002,2025-05-01T09:45:12,Software,Email,Unable to send emails through Outlook.,Open,,,Application Support
TCKT-1003,2025-05-01T10:05:47,Network,WiFi,Intermittent WiFi connectivity in conference room.,In Progress,2024-06-01T10:30:00,,Network Team
TCKT-1004,2025-05-01T11:22:36,Hardware,Printer,Printer displaying paper jam error.,Resolved,,2025-06-05T12:10:00,Facilities
TCKT-1005,2025-05-01T12:05:18,Software,ERP,ERP system not loading dashboard for user.,Open,,,Application Support
TCKT-1006,2025-05-01T13:14:50,Network,VPN,VPN connection drops after 5 minutes.,In Progress,2024-06-01T13:45:00,,Network Team
TCKT-1007,2025-05-01T14:02:33,Hardware,Monitor,Monitor flickering intermittently.,Resolved,,2025-06-05T15:00:00,IT Support
TCKT-1008,2025-05-01T15:25:41,Software,Browser,Chrome crashes when opening multiple tabs.,Open,,,Application Support
TCKT-1009,2025-05-01T16:10:19,Network,LAN,No network access on floor 3.,In Progress,2024-06-01T16:30:00,,Network Team
TCKT-1010,2025-05-01T17:05:08,Hardware,Desktop,Desktop freezing during startup.,Resolved,,2025-06-05T18:00:00,IT Support
TCKT-1011,2025-05-02T08:12:45,Software,Antivirus,Antivirus update failing on multiple machines.,Open,,,Security Team
TCKT-1012,2025-05-02T09:30:27,Network,Firewall,Firewall blocking access to internal resources.,In Progress,2024-06-02T09:45:00,,Network Team
TCKT-1013,2025-05-02T10:18:39,Hardware,Keyboard,Keyboard keys not responding.,Resolved,,2025-06-02T11:00:00,IT Support
TCKT-1014,2025-05-02T11:45:16,Software,Operating System,Windows update stuck at 60%.,Open,,,Application Support
TCKT-1015,2025-05-02T12:22:54,Network,Switch,Switch port not functioning for new device.,In Progress,2024-06-02T12:45:00,,Network Team
TCKT-1016,2025-05-02T13:10:33,Hardware,Mouse,Mouse pointer lagging.,Resolved,,2025-06-02T13:45:00,IT Support
TCKT-1017,2025-05-02T14:05:21,Software,Database,Database connection timeout for finance app.,Open,,,Application Support
TCKT-1018,2025-05-02T15:22:08,Network,Router,Router rebooting unexpectedly.,In Progress,2024-06-02T15:45:00,,Network Team
TCKT-1019,2025-05-02T16:30:44,Hardware,Scanner,Scanner not detected by computer.,Resolved,,2025-06-02T17:15:00,IT Support
TCKT-1020,2025-05-02T17:50:19,Software,CRM,CRM reports not generating for sales team.,Open,,,Application Support
TCKT-1021,2025-05-03T08:05:37,Network,WAN,Slow WAN performance during peak hours.,In Progress,2024-06-03T08:30:00,,Network Team
TCKT-1022,2025-05-03T09:18:24,Hardware,Laptop,Laptop battery draining quickly.,Resolved,,2025-06-03T10:00:00,IT Support
TCKT-1023,2025-05-03T10:30:12,Software,Email,Spam filter blocking legitimate emails.,Open,,,Security Team
TCKT-1024,2025-05-03T11:45:59,Network,WiFi,WiFi authentication failing for guests.,In Progress,2024-06-03T12:00:00,,Network Team
TCKT-1025,2025-05-03T12:20:41,Hardware,Printer,Printer not connecting to network.,Resolved,,2025-06-03T13:00:00,Facilities
TCKT-1026,2025-05-03T13:05:33,Software,ERP,ERP user unable to reset password.,Open,,,Application Support
TCKT-1027,2025-05-03T14:15:27,Network,VPN,VPN client not installing on Mac.,In Progress,2024-06-03T14:45:00,,Network Team
TCKT-1028,2025-05-03T15:30:19,Hardware,Monitor,Monitor not displaying correct resolution.,Resolved,,2025-06-03T16:00:00,IT Support
TCKT-1029,2025-05-03T16:45:08,Software,Browser,Edge browser not opening PDF files.,Open,,,Application Support
TCKT-1030,2025-05-03T17:10:56,Network,LAN,LAN cable damaged in server room.,In Progress,2024-06-03T17:30:00,,Network Team
TCKT-1031,2025-05-04T08:22:43,Hardware,Desktop,Desktop not recognizing external hard drive.,Resolved,,2025-06-04T09:00:00,IT Support
TCKT-1032,2025-05-04T09:40:29,Software,Antivirus,Antivirus license expired notification.,Open,,,Security Team
TCKT-1033,2025-05-04T10:55:17,Network,Firewall,Firewall rules not updating.,In Progress,2024-06-04T11:15:00,,Network Team
TCKT-1034,2025-05-04T11:30:06,Hardware,Keyboard,Wireless keyboard disconnects frequently.,Resolved,,2025-06-04T12:00:00,IT Support
TCKT-1035,2025-05-04T12:45:54,Software,Operating System,MacOS update causing application crashes.,Open,,,Application Support
TCKT-1036,2025-05-04T13:20:41,Network,Switch,Switch overheating in server closet.,In Progress,2024-06-04T13:45:00,,Network Team
TCKT-1037,2025-05-04T14:05:29,Hardware,Mouse,Mouse not detected after Windows update.,Resolved,,2025-06-04T14:30:00,IT Support
TCKT-1038,2025-05-04T15:15:17,Software,Database,Database backup failed last night.,Open,,,Application Support
TCKT-1039,2025-05-04T16:30:05,Network,Router,Router firmware update required.,In Progress,2024-06-04T16:45:00,,Network Team
TCKT-1040,2025-05-04T17:05:53,Hardware,Scanner,Scanner producing blurry images.,Resolved,,2025-06-04T17:45:00,IT Support
TCKT-1041,2025-05-05T08:10:41,Software,CRM,CRM login page not loading for users.,Open,,,Application Support
TCKT-1042,2025-05-05T09:25:29,Network,WAN,WAN link down between HQ and branch.,In Progress,2024-06-05T09:45:00,,Network Team
TCKT-1043,2025-05-05T10:40:17,Hardware,Laptop,Laptop screen cracked after accidental drop.,Resolved,,2025-06-05T11:30:00,IT Support
TCKT-1044,2025-05-05T11:55:05,Software,Email,Email attachments not downloading.,Open,,,Application Support
TCKT-1045,2025-05-05T12:30:53,Network,WiFi,WiFi signal weak in cafeteria.,In Progress,2024-06-05T12:45:00,,Network Team
TCKT-1046,2025-05-05T13:15:41,Hardware,Printer,Printer toner low warning.,Resolved,,2025-06-05T13:45:00,Facilities
TCKT-1047,2025-05-05T14:05:29,Software,ERP,ERP module not accessible for HR team.,Open,,,Application Support
TCKT-1048,2025-05-05T15:20:17,Network,VPN,VPN authentication failing for remote users.,In Progress,2024-06-05T15:45:00,,Network Team
TCKT-1049,2025-05-05T16:35:05,Hardware,Monitor,Monitor not turning on after power outage.,Resolved,,2025-06-05T17:00:00,IT Support
TCKT-1050,2025-05-05T17:10:53,Software,Browser,Firefox not saving bookmarks.,Open,,,Application Support
TCKT-1001,2025-05-01T08:15:23,Network,WiFi,Unable to connect to office WiFi on 3rd floor.,Resolved,,2025-06-05T10:05:12,IT Support
TCKT-1002,2025-05-01T09:02:11,Hardware,Laptop,Laptop screen flickering intermittently.,In Progress,,,Hardware Team
TCKT-1003,2025-05-01T09:45:30,Software,Email,Outlook not syncing emails since yesterday.,Resolved,,2025-06-05T11:20:45,Application Support
TCKT-1004,2025-05-01T10:12:05,Access,VPN,VPN connection drops after 5 minutes.,Escalated,2024-06-01T11:00:00,,Network Team
TCKT-1005,2025-05-01T10:30:47,Hardware,Printer,Printer in HR department showing paper jam error.,Resolved,,2025-06-05T12:05:33,Hardware Team
TCKT-1006,2025-05-01T11:02:19,Software,CRM,Unable to login to CRM application.,In Progress,,,Application Support
TCKT-1007,2025-05-01T11:15:40,Network,LAN,No network connectivity in conference room.,Resolved,,2025-06-05T12:45:10,Network Team
TCKT-1008,2025-05-01T11:55:23,Access,Active Directory,Password reset required for user account.,Resolved,,2025-06-05T12:10:00,IT Support
TCKT-1009,2025-05-01T12:20:15,Software,Email,Spam emails bypassing filters.,Escalated,2024-06-01T13:00:00,,Security Team
TCKT-1010,2025-05-01T12:45:50,Hardware,Desktop,Desktop not powering on after update.,In Progress,,,Hardware Team
TCKT-1011,2025-05-01T13:05:33,Network,WiFi,Slow WiFi speed in cafeteria.,Resolved,,2025-06-05T14:20:17,Network Team
TCKT-1012,2025-05-01T13:30:12,Access,VPN,Unable to access internal resources via VPN.,Resolved,,2025-06-05T15:05:00,Network Team
TCKT-1013,2025-05-01T13:55:41,Software,CRM,CRM reports not generating for sales team.,Escalated,2024-06-01T14:30:00,,Application Support
TCKT-1014,2025-05-01T14:10:29,Hardware,Printer,Printer toner low warning despite new cartridge.,Resolved,,2025-06-05T15:00:00,Hardware Team
TCKT-1015,2025-05-01T14:35:17,Network,LAN,Frequent disconnections on LAN port 12.,In Progress,,,Network Team
TCKT-1016,2025-05-01T15:00:00,Access,Active Directory,Account locked after multiple failed logins.,Resolved,,2025-06-05T15:20:00,IT Support
TCKT-1017,2025-05-01T15:25:45,Software,Email,Attachment not downloading in Outlook.,Resolved,,2025-06-05T16:10:00,Application Support
TCKT-1018,2025-05-01T15:50:30,Hardware,Laptop,Battery draining quickly after update.,In Progress,,,Hardware Team
TCKT-1019,2025-05-01T16:15:12,Network,WiFi,WiFi not visible on mobile devices.,Resolved,,2025-06-05T17:00:00,Network Team
TCKT-1020,2025-05-01T16:40:00,Access,VPN,VPN client showing authentication error.,Escalated,2024-06-01T17:30:00,,Network Team
TCKT-1021,2025-05-01T17:05:22,Software,CRM,CRM dashboard not loading for managers.,Resolved,,2025-06-05T18:00:00,Application Support
TCKT-1022,2025-05-01T17:30:45,Hardware,Printer,Printer not connecting to network.,In Progress,,,Hardware Team
TCKT-1023,2025-05-01T17:55:10,Network,LAN,LAN cable damaged in IT room.,Resolved,,2025-06-05T18:30:00,Network Team
TCKT-1024,2025-05-01T18:20:00,Access,Active Directory,Unable to add new user to group.,Escalated,2024-06-01T19:00:00,,IT Support
TCKT-1025,2025-05-01T18:45:33,Software,Email,Email signature not displaying correctly.,Resolved,,2025-06-05T19:10:00,Application Support
TCKT-1026,2025-05-01T19:10:00,Hardware,Desktop,USB ports not working on desktop.,In Progress,,,Hardware Team
TCKT-1027,2025-05-01T19:35:20,Network,WiFi,WiFi disconnects during video calls.,Resolved,,2025-06-05T20:15:00,Network Team
TCKT-1028,2025-05-01T20:00:00,Access,VPN,VPN client update required for Mac users.,Resolved,,2025-06-05T21:00:00,Network Team
TCKT-1029,2025-05-01T20:25:45,Software,CRM,CRM notifications not received by users.,Escalated,2024-06-01T21:00:00,,Application Support
TCKT-1030,2025-05-01T20:50:10,Hardware,Printer,"Printer queue stuck, unable to clear jobs.",Resolved,,2025-06-05T21:30:00,Hardware Team
TCKT-1031,2025-05-01T21:15:00,Network,LAN,Network switch overheating.,In Progress,,,Network Team
TCKT-1032,2025-05-01T21:40:00,Access,Active Directory,Group policy not applying to new users.,Escalated,2024-06-01T22:00:00,,IT Support
TCKT-1033,2025-05-01T22:05:00,Software,Email,Email delivery delayed for external domains.,Resolved,,2025-06-05T22:45:00,Application Support
TCKT-1034,2025-05-01T22:30:00,Hardware,Laptop,Laptop keyboard keys not responding.,In Progress,,,Hardware Team
TCKT-1035,2025-05-01T22:55:00,Network,WiFi,WiFi coverage weak in basement.,Resolved,,2025-06-05T23:30:00,Network Team
TCKT-1036,2025-05-01T23:20:00,Access,VPN,VPN not working after password change.,Escalated,2024-06-01T23:45:00,,Network Team
TCKT-1037,2025-05-01T23:45:00,Software,CRM,CRM export function not available.,Resolved,,2025-06-02T00:30:00,Application Support
TCKT-1038,2025-05-02T00:10:00,Hardware,Printer,Printer printing faded text.,In Progress,,,Hardware Team
TCKT-1039,2025-05-02T00:35:00,Network,LAN,LAN port not detected on desktop.,Resolved,,2025-06-02T01:10:00,Network Team
TCKT-1040,2025-05-02T01:00:00,Access,Active Directory,User unable to access shared folder.,Resolved,,2025-06-02T01:30:00,IT Support
TCKT-1041,2025-05-02T01:25:00,Software,Email,Emails not syncing on mobile device.,Escalated,2024-06-02T02:00:00,,Application Support
TCKT-1042,2025-05-02T01:50:00,Hardware,Desktop,Desktop fan making loud noise.,Resolved,,2025-06-02T02:30:00,Hardware Team
TCKT-1043,2025-05-02T02:15:00,Network,WiFi,WiFi password not accepted on tablet.,In Progress,,,Network Team
TCKT-1044,2025-05-02T02:40:00,Access,VPN,VPN connection slow for remote users.,Resolved,,2025-06-02T03:15:00,Network Team
TCKT-1045,2025-05-02T03:05:00,Software,CRM,CRM search function not returning results.,Escalated,2024-06-02T03:30:00,,Application Support
TCKT-1046,2025-05-02T03:30:00,Hardware,Printer,Printer not recognized by Windows.,Resolved,,2025-06-02T04:00:00,Hardware Team
TCKT-1047,2025-05-02T03:55:00,Network,LAN,LAN switch port configuration issue.,In Progress,,,Network Team
TCKT-1048,2025-05-02T04:20:00,Access,Active Directory,Unable to remove user from group.,Escalated,2024-06-02T04:45:00,,IT Support
TCKT-1049,2025-05-02T04:45:00,Software,Email,Email rules not working in Outlook.,Resolved,,2025-06-02T05:15:00,Application Support
TCKT-1050,2025-05-02T05:10:00,Hardware,Laptop,Laptop overheating during video calls.,In Progress,,,Hardware Team
TCKT-1001,2025-05-01T08:15:23,Hardware,Laptop,Laptop not powering on after overnight charging.,Resolved,,2025-06-05T10:45:12,IT Support
TCKT-1002,2025-05-01T09:02:11,Software,Email,Unable to send emails via Outlook.,Resolved,,2025-06-05T09:45:30,Application Support
TCKT-1003,2025-05-01T09:30:45,Network,WiFi,Intermittent WiFi connectivity in conference room.,Open,,,Network Operations
TCKT-1004,2025-05-01T10:05:18,Hardware,Printer,Printer showing paper jam error.,Resolved,,2025-06-05T11:20:00,Facilities
TCKT-1005,2025-05-01T10:45:37,Software,ERP,ERP system not loading dashboard for user.,Escalated,2024-06-01T11:30:00,,ERP Team
TCKT-1006,2025-05-01T11:12:50,Network,VPN,VPN connection drops after 5 minutes.,Resolved,,2025-06-05T12:00:00,Network Operations
TCKT-1007,2025-05-01T11:45:22,Hardware,Monitor,Monitor flickering intermittently.,Open,,,IT Support
TCKT-1008,2025-05-01T12:05:10,Software,Browser,Chrome crashes when opening multiple tabs.,Resolved,,2025-06-05T13:00:00,Application Support
TCKT-1009,2025-05-01T12:45:00,Network,Ethernet,No network detected on desktop via LAN cable.,Resolved,,2025-06-05T13:30:00,Network Operations
TCKT-1010,2025-05-01T13:10:40,Hardware,Keyboard,Some keys on keyboard not responding.,Resolved,,2025-06-05T14:00:00,IT Support
TCKT-1011,2025-05-01T13:45:55,Software,Antivirus,Antivirus not updating virus definitions.,Open,,,Security Team
TCKT-1012,2025-05-01T14:20:30,Network,Firewall,Blocked access to external website required for work.,Escalated,2024-06-01T15:00:00,,Security Team
TCKT-1013,2025-05-01T14:55:10,Hardware,Mouse,Mouse pointer not moving smoothly.,Resolved,,2025-06-05T15:30:00,IT Support
TCKT-1014,2025-05-01T15:20:00,Software,Office Suite,Excel crashing when opening large files.,Resolved,,2025-06-05T16:10:00,Application Support
TCKT-1015,2025-05-01T15:45:22,Network,Switch,Network switch in floor 2 not responding.,Escalated,2024-06-01T16:30:00,,Network Operations
TCKT-1016,2025-05-01T16:10:40,Hardware,Docking Station,Docking station not detecting external monitors.,Resolved,,2025-06-05T17:00:00,IT Support
TCKT-1017,2025-05-01T16:45:00,Software,Database,Unable to connect to SQL database.,Escalated,2024-06-01T17:30:00,,Database Team
TCKT-1018,2025-05-01T17:10:15,Network,Internet,Slow internet speed in office area.,Open,,,Network Operations
TCKT-1019,2025-05-01T17:45:30,Hardware,Laptop,Battery draining quickly after full charge.,Resolved,,2025-06-05T18:30:00,IT Support
TCKT-1020,2025-05-01T18:20:00,Software,Email,Spam emails bypassing filters.,Escalated,2024-06-01T19:00:00,,Security Team
TCKT-1021,2025-05-01T18:45:10,Network,WiFi,Unable to connect to guest WiFi network.,Resolved,,2025-06-05T19:20:00,Network Operations
TCKT-1022,2025-05-01T19:10:30,Hardware,Printer,Printer not recognized by computer.,Open,,,Facilities
TCKT-1023,2025-05-01T19:45:00,Software,ERP,ERP login fails with error code 403.,Resolved,,2025-06-05T20:30:00,ERP Team
TCKT-1024,2025-05-01T20:20:15,Network,VPN,Unable to access shared drives via VPN.,Resolved,,2025-06-05T21:00:00,Network Operations
TCKT-1025,2025-05-01T20:45:30,Hardware,Monitor,Monitor not displaying after sleep mode.,Resolved,,2025-06-05T21:30:00,IT Support
TCKT-1026,2025-05-01T21:10:00,Software,Browser,Unable to access company intranet via Firefox.,Open,,,Application Support
TCKT-1027,2025-05-01T21:45:20,Network,Ethernet,Frequent disconnections on wired network.,Escalated,2024-06-01T22:30:00,,Network Operations
TCKT-1028,2025-05-01T22:10:40,Hardware,Keyboard,Wireless keyboard not pairing with PC.,Resolved,,2025-06-05T23:00:00,IT Support
TCKT-1029,2025-05-01T22:45:00,Software,Antivirus,Antivirus scan stuck at 50%.,Resolved,,2025-06-05T23:30:00,Security Team
TCKT-1030,2025-05-01T23:10:15,Network,Firewall,Unable to access internal HR portal.,Escalated,2024-06-01T23:45:00,,Security Team
TCKT-1031,2025-05-02T08:05:10,Hardware,Mouse,Mouse double-clicking unexpectedly.,Resolved,,2025-06-02T08:45:00,IT Support
TCKT-1032,2025-05-02T08:45:30,Software,Office Suite,Word document formatting issues.,Open,,,Application Support
TCKT-1033,2025-05-02T09:10:00,Network,Switch,Switch port not providing power to device.,Resolved,,2025-06-02T09:45:00,Network Operations
TCKT-1034,2025-05-02T09:45:20,Hardware,Docking Station,USB ports on docking station not working.,Escalated,2024-06-02T10:30:00,,IT Support
TCKT-1035,2025-05-02T10:10:40,Software,Database,Database backup failed overnight.,Resolved,,2025-06-02T11:00:00,Database Team
TCKT-1036,2025-05-02T10:45:00,Network,Internet,No internet access in training room.,Resolved,,2025-06-02T11:30:00,Network Operations
TCKT-1037,2025-05-02T11:10:15,Hardware,Laptop,Laptop overheating during video calls.,Open,,,IT Support
TCKT-1038,2025-05-02T11:45:30,Software,Email,Email attachments not downloading.,Resolved,,2025-06-02T12:20:00,Application Support
TCKT-1039,2025-05-02T12:20:00,Network,WiFi,WiFi signal weak in cafeteria.,Open,,,Network Operations
TCKT-1040,2025-05-02T12:45:10,Hardware,Printer,Printer printing faded text.,Resolved,,2025-06-02T13:30:00,Facilities
TCKT-1041,2025-05-02T13:10:30,Software,ERP,ERP report generation taking too long.,Escalated,2024-06-02T13:45:00,,ERP Team
TCKT-1042,2025-05-02T13:45:00,Network,VPN,VPN authentication failing for remote users.,Resolved,,2025-06-02T14:30:00,Network Operations
TCKT-1043,2025-05-02T14:20:15,Hardware,Monitor,Monitor colors distorted after update.,Resolved,,2025-06-02T15:00:00,IT Support
TCKT-1044,2025-05-02T14:45:30,Software,Browser,Edge browser not loading external links.,Open,,,Application Support
TCKT-1045,2025-05-02T15:10:00,Network,Ethernet,Ethernet port loose on workstation.,Resolved,,2025-06-02T15:45:00,Network Operations
TCKT-1046,2025-05-02T15:45:20,Hardware,Keyboard,Keyboard backlight not working.,Escalated,2024-06-02T16:30:00,,IT Support
TCKT-1047,2025-05-02T16:10:40,Software,Antivirus,Antivirus blocking legitimate application.,Resolved,,2025-06-02T17:00:00,Security Team
TCKT-1048,2025-05-02T16:45:00,Network,Firewall,Firewall rules need update for new service.,Open,,,Security Team
TCKT-1049,2025-05-02T17:10:15,Hardware,Mouse,Mouse scroll wheel not functioning.,Resolved,,2025-06-02T17:45:00,IT Support
TCKT-1050,2025-05-02T17:45:30,Software,Office Suite,PowerPoint not saving presentations.,Escalated,2024-06-02T18:30:00,,Application Support
TCKT-1001,2025-05-01T08:15:23,Hardware,Laptop,Laptop not powering on after charging overnight.,Resolved,2024-06-01T10:05:00,2025-06-05T12:30:00,IT Support
TCKT-1002,2025-05-01T09:42:11,Software,Email,Unable to send emails through Outlook.,Open,,,Application Support
TCKT-1003,2025-05-01T10:05:45,Network,WiFi,WiFi connection drops intermittently on 3rd floor.,In Progress,2024-06-01T11:00:00,,Network Team
TCKT-1004,2025-05-01T10:30:12,Hardware,Printer,"Printer showing paper jam error, unable to print.",Resolved,,2025-06-05T11:15:00,Facilities
TCKT-1005,2025-05-01T11:02:37,Software,ERP,ERP system not loading dashboard for user.,Open,,,Application Support
TCKT-1006,2025-05-01T11:25:19,Network,VPN,Unable to connect to VPN from remote location.,In Progress,2024-06-01T12:00:00,,Network Team
TCKT-1007,2025-05-01T11:45:03,Hardware,Monitor,Monitor flickering and displaying distorted colors.,Resolved,,2025-06-05T13:00:00,IT Support
TCKT-1008,2025-05-01T12:10:28,Software,Browser,Chrome browser crashing when opening multiple tabs.,Open,,,Application Support
